Area_m2,Rooms_noisy,Floor_num_noisy,Parking_num_noisy,Municipality_score,Type_str_Novogradnja,Type_str_Ostalo,Type_str_Stara gradnja,Condition_str_Izvorno stanje,Condition_str_Lux,Condition_str_Ostalo,Condition_str_Renovirano,Condition_str_Za renoviranje,Heating_str_CG,Heating_str_EG,Heating_str_Ostalo,Heating_str_Podno,Heating_str_TA,Heating_str_Toplotne pumpe,Price_per_m2
223.0,4.906285837137347,0.02689874151805105,1.0066404640296898,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
67.0,2.027282082252756,0.0444765729882428,-0.0023949597800900363,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
53.0,2.962871196215265,1.0349647390677412,2.016367116536265,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
108.0,4.00171413823294,0.9747348101743197,0.043682973932475805,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
220.0,5.081513294785219,0.9950544135310093,2.023257209721025,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
81.0,2.949858445829775,-0.0370840584848505,-0.028505962140924324,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3271.604938271605
98.42,3.982076584607126,1.0454051027258722,0.9531183135061285,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
58.0,3.0511102277086097,1.010617463445088,-0.023773595570017493,4,True,False,False,False,False,True,False,False,False,False,True,False,False,False,3086.206896551724
45.25,1.4457596330983244,0.9728642805503462,0.009507793070025486,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
76.0,2.9153959819657587,1.0171700684405858,-0.04485741865157497,2,False,False,True,False,False,False,False,True,False,False,False,False,True,False,1973.6842105263158
127.0,3.9579502905827537,0.01181282404578958,-0.00036337527987636425,6,False,False,True,True,False,False,False,False,False,False,False,False,True,False,3425.196850393701
33.0,0.9322442574508009,0.985816271803284,0.009684284891688918,4,False,True,False,False,False,True,False,False,True,False,False,False,False,False,2696.969696969697
108.0,4.085939530468514,0.9613557592199629,-0.016575610918303917,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
53.0,3.061624075912883,1.01715731955928,2.027091220374582,3,False,True,False,False,True,False,False,False,False,False,False,True,False,False,1996.9811320754718
223.0,5.026680751302084,0.00203077009037933,0.9606598253133771,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
67.0,2.0742921180375435,0.027231839173563935,-0.042486221826419125,7,False,False,True,False,True,False,False,False,True,False,False,False,False,False,3955.223880597015
220.0,5.060734415379823,1.0020163501111994,2.0228188756203602,2,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3177.2727272727275
65.0,3.437314011777207,1.035218150031854,-0.0004508683793801524,7,False,True,False,False,False,True,False,False,True,False,False,False,False,False,3923.076923076923
65.0,2.5785117996979956,1.0051906838774485,1.0188402396427736,3,False,False,True,False,False,False,True,False,False,False,False,True,False,False,3767.6923076923076
72.0,2.50786844838313,1.0060937971535386,-0.0065172661396253745,1,False,True,False,False,False,False,True,False,True,False,False,False,False,False,2513.8888888888887
223.0,5.0614880310328125,0.0376653602658345,0.9746402033239107,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,6721.52466367713
98.42,4.079218259984699,0.9903482866212397,1.03191023176742,7,True,False,False,False,True,False,False,False,False,False,False,False,False,True,3800.0
25.0,0.4636006949943728,0.9634015228450641,0.029941587896897923,3,True,False,False,False,False,True,False,False,False,True,False,False,False,False,2460.0
108.0,3.922010384905535,0.9528782676313339,0.019469647085442673,5,True,False,False,True,False,False,False,False,True,False,False,False,False,False,3694.4444444444443
45.25,1.4455870325083884,1.0255137255673619,-0.022785486277003733,4,True,False,False,True,False,False,False,False,False,True,False,False,False,False,2651.9337016574586
86.0,3.9854215577252514,1.0120309551353466,1.0090230666869087,3,True,False,False,False,True,False,False,False,True,False,False,False,False,False,3818.1744186046512
77.0,3.063602953184499,1.0204079768099223,-0.01390261030599732,6,False,False,True,False,True,False,False,False,False,False,False,False,False,True,4740.25974025974
